Time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(BIOUTA),I(BIOUTB),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(R1),I(R2),I(Ra),I(Rb),I(Rf),I(Rfn),I(Rfp),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(xu1:1),Ix(xu1:2),Ix(xu1:3),Ix(xu1:4),Ix(xu1:5),Ix(xu1:6),Ix(xu2:1),Ix(xu2:2),Ix(xu2:3),Ix(xu2:4),Ix(xu2:5),Ix(xu2:6),Ix(xu3:1),Ix(xu3:2),Ix(xu3:3),Ix(xu3:4),Ix(xu3:5),Ix(xu3:6)
2.2249999999988615e-06,7.081188e-05,-3.582953e-05,-0.9888158,-0.0077516465,-2.5,2.5,2.5,-0.012801452,-0.00905763,2.5,-15.183333,13.5144615,18.0,-18.0,0.003970219,2.9781348e-05,-5.1972817e-09,3.446911e-09,3.022995e-06,-0.00036198672,-1.1812004e-09,7.8338885e-10,-0.0014083333,-0.0015183333,0.0065067625,-9.32845e-06,0.006441554,-0.0039714323,-3.0987216e-05,0.6142937,4.720792e-10,-2.3886354e-10,-0.65364397,-0.03395203,-0.012499786,-0.0020000073,9.32845e-06,-6.218532e-05,0.65364397,-0.032543696,-0.6211003,0.00011,-1.201787e-06,-1.207598e-06,0.0010000041,-0.011478103,0.010478195,0.0,-1.199133e-06,-1.209861e-06,0.0010000031,-0.0010216834,2.1658767e-05,0.0
2.244999999998851e-06,6.6082066e-05,-3.269279e-05,-0.98985773,-0.0067113014,-2.5,2.5,2.5,-0.0117532965,-0.00801695,2.5,-15.183333,13.546255,18.0,-18.0,0.003974384,2.5615973e-05,-5.2080926e-09,3.4539391e-09,2.818553e-06,-0.00033746223,-1.1836574e-09,7.849862e-10,-0.0014083333,-0.0015183333,0.0065206965,-9.326062e-06,0.0064561944,-0.0039755977,-2.682172e-05,0.61573887,4.4054713e-10,-2.1795193e-10,-0.655079,-0.03395203,-0.012513728,-0.0020000073,9.326062e-06,-6.1683204e-05,0.655079,-0.032543696,-0.62253535,0.00011,-1.2016513e-06,-1.2077342e-06,0.0010000041,-0.011496209,0.010496294,0.0,-1.199223e-06,-1.2097706e-06,0.0010000031,-0.0010175188,1.7495659e-05,0.0
2.2649999999988407e-06,6.1342915e-05,-2.95498e-05,-0.9908221,-0.005748583,-2.5,2.5,2.5,-0.010782697,-0.007053891,2.5,-15.183333,13.575817,18.0,-18.0,0.0039782375,2.1762375e-05,-5.2180336e-09,3.4604741e-09,2.6136652e-06,-0.00031288443,-1.1859167e-09,7.864714e-10,-0.0014083333,-0.0015183333,0.0065335957,-9.32363e-06,0.0064698095,-0.0039794515,-2.2968004e-05,0.6170826,4.0895273e-10,-1.9699867e-10,-0.6564116,-0.03395203,-0.012526635,-0.0020000073,9.32363e-06,-6.117292e-05,0.6564116,-0.032543696,-0.62386787,0.00011,-1.2015155e-06,-1.2078706e-06,0.0010000041,-0.011512969,0.010513048,0.0,-1.199313e-06,-1.2096802e-06,0.0010000031,-0.0010136659,1.3644374e-05,0.0
2.2749999999988356e-06,5.8970014e-05,-2.7976163e-05,-0.9912751,-0.0052963817,-2.5,2.5,2.5,-0.010326529,-0.0066015176,2.5,-15.183333,13.589759,18.0,-18.0,0.0039800475,1.9952684e-05,-5.222716e-09,3.4635306e-09,2.511062e-06,-0.00030057642,-1.186981e-09,7.87166e-10,-0.0014083333,-0.0015183333,0.0065396572,-9.322398e-06,0.0064762314,-0.003981261,-2.1158256e-05,0.6177163,3.9313344e-10,-1.8650774e-10,-0.6570393,-0.03395203,-0.0125327,-0.0020000073,9.322398e-06,-6.0914732e-05,0.6570393,-0.032543696,-0.6244956,0.00011,-1.2014475e-06,-1.2079389e-06,0.0010000041,-0.011520843,0.010520918,0.0,-1.1993582e-06,-1.2096349e-06,0.0010000031,-0.0010118567,1.1835858e-05,0.0
2.2849999999988304e-06,5.659507e-05,-2.6401138e-05,-0.99170864,-0.004863643,-2.5,2.5,2.5,-0.009889806,-0.006168605,2.5,-15.183333,13.603142,18.0,-18.0,0.003981779,1.8221164e-05,-5.2270384e-09,3.4665792e-09,2.4083631e-06,-0.000288257,-1.1879633e-09,7.878589e-10,-0.0014083333,-0.0015183333,0.006545459,-9.321154e-06,0.006482396,-0.003982993,-1.9426674e-05,0.61832464,3.7730047e-10,-1.7600758e-10,-0.65764135,-0.03395203,-0.012538506,-0.0020000073,9.321154e-06,-6.0654533e-05,0.65764135,-0.032543696,-0.6250977,0.00011,-1.2013794e-06,-1.2080072e-06,0.0010000041,-0.01152838,0.010528452,0.0,-1.1994033e-06,-1.2095896e-06,0.0010000031,-0.0010101255,1.0105521e-05,0.0
2.2949999999988252e-06,5.421817e-05,-2.4824796e-05,-0.9921227,-0.0044503845,-2.5,2.5,2.5,-0.009472545,-0.0057551702,2.5,-15.183333,13.615964,18.0,-18.0,0.003983432,1.656788e-05,-5.2313194e-09,3.4693237e-09,2.3055682e-06,-0.00027592608,-1.1889362e-09,7.8848267e-10,-0.0014083333,-0.0015183333,0.006551001,-9.3199e-06,0.006488303,-0.0039846464,-1.7773331e-05,0.61890745,3.6145448e-10,-1.6549864e-10,-0.65821767,-0.03395203,-0.012544052,-0.0020000073,9.3199e-06,-6.0392325e-05,0.65821767,-0.032543696,-0.625674,0.00011,-1.2013113e-06,-1.2080756e-06,0.0010000041,-0.011535579,0.010535647,0.0,-1.1994484e-06,-1.2095443e-06,0.0010000031,-0.0010084726,8.453432e-06,0.0
2.30499999999882e-06,5.183936e-05,-2.3247241e-05,-0.9925173,-0.004056622,-2.5,2.5,2.5,-0.009074764,-0.0053612306,2.5,-15.183333,13.628225,18.0,-18.0,0.0039850073,1.4992898e-05,-5.23545e-09,3.4719123e-09,2.2026811e-06,-0.00026358414,-1.189875e-09,7.89071e-10,-0.0014083333,-0.0015183333,0.006556283,-9.318634e-06,0.0064939526,-0.0039862213,-1.6198292e-05,0.6194648,3.4559572e-10,-1.5498161e-10,-0.65876824,-0.03395203,-0.012549338,-0.0020000073,9.318634e-06,-6.0128128e-05,0.65876824,-0.032543696,-0.6262245,0.00011,-1.2012432e-06,-1.2081439e-06,0.0010000041,-0.011542439,0.0105425045,0.0,-1.1994937e-06,-1.2094989e-06,0.0010000031,-0.0010068981,6.879658e-06,0.0
2.314999999998815e-06,4.9458766e-05,-2.1668504e-05,-0.9928923,-0.0036823708,-2.5,2.5,2.5,-0.008696477,-0.0049868007,2.5,-15.183333,13.639926,18.0,-18.0,0.003986504,1.3496282e-05,-5.239159e-09,3.4745353e-09,2.0997093e-06,-0.000251232,-1.1907179e-09,7.896671e-10,-0.0014083333,-0.0015183333,0.006561306,-9.317357e-06,0.006499344,-0.003987718,-1.4701615e-05,0.6199966,3.297251e-10,-1.444567e-10,-0.659293,-0.03395203,-0.012554364,-0.0020000073,9.317357e-06,-5.9861948e-05,0.659293,-0.032543696,-0.62674934,0.00011,-1.201175e-06,-1.2082123e-06,0.0010000041,-0.011548962,0.010549024,0.0,-1.1995388e-06,-1.2094536e-06,0.0010000031,-0.001005402,5.3842587e-06,0.0
2.3249999999988097e-06,4.707651e-05,-2.0088624e-05,-0.99324787,-0.0033276463,-2.5,2.5,2.5,-0.0083377,-0.004631896,2.5,-15.183333,13.651065,18.0,-18.0,0.003987922,1.2078089e-05,-5.242769e-09,3.4769325e-09,1.9966521e-06,-0.00023886972,-1.1915384e-09,7.902119e-10,-0.0014083333,-0.0015183333,0.0065660677,-9.31607e-06,0.0065044775,-0.0039891363,-1.3283364e-05,0.62050295,3.138434e-10,-1.3392416e-10,-0.65979195,-0.03395203,-0.01255913,-0.0020000073,9.31607e-06,-5.9593796e-05,0.65979195,-0.032543696,-0.6272483,0.00011,-1.2011068e-06,-1.2082808e-06,0.0010000041,-0.011555146,0.010555204,0.0,-1.1995841e-06,-1.2094082e-06,0.0010000031,-0.0010039841,3.9672946e-06,0.0
2.3349999999988045e-06,4.4692635e-05,-1.8507712e-05,-0.99358386,-0.0029924621,-2.5,2.5,2.5,-0.007998447,-0.00429653,2.5,-15.183333,13.661641,18.0,-18.0,0.0039892616,1.0738376e-05,-5.2462776e-09,3.4790841e-09,1.8935186e-06,-0.00022649825,-1.1923358e-09,7.9070095e-10,-0.0014083333,-0.0015183333,0.0065705692,-9.314771e-06,0.006509352,-0.003990476,-1.1943593e-05,0.6209837,2.9795091e-10,-1.2338475e-10,-0.6602651,-0.03395203,-0.012563636,-0.0020000073,9.314771e-06,-5.932368e-05,0.6602651,-0.032543696,-0.6277214,0.00011,-1.2010385e-06,-1.2083493e-06,0.0010000041,-0.0115609905,0.010561045,0.0,-1.1996294e-06,-1.2093628e-06,0.0010000031,-0.0010026449,2.6288212e-06,0.0
